Id,productName,stock,price
1,Samsung Galaxy M14,0,13000
2,Apple iPhone 14,0,69999
3,HP Laptop 15s,0,48000
4,Dell Inspiron 3501,8,52500
5,Sony Headphones WH-CH520,50,3499
6,LG 32-inch LED TV,12,17999
7,Realme Narzo N53,1,10999
8,OnePlus Nord CE 3 Lite,22,19999
9,Canon EOS 1500D Camera,6,42999
10,Boat Airdopes 141,75,1299
11,Samsung Refrigerator 253L,5,28990
12,Whirlpool Washing Machine,9,21990
13,Mi Power Bank 20000mAh,40,1999
14,Asus VivoBook 14,11,39999
15,Lenovo IdeaPad Slim 3,7,44999
16,Samsung Smart Watch 6,14,27999
17,Philips Trimmer,65,1295
18,Amazon Echo Dot 4th Gen,18,4499
19,JBL Go 3 Speaker,23,3199
20,Samsung 1TB SSD,10,7499
